persona_mode,question_id,stance,expected_count,predicted_count,n_rows,expected_share,predicted_share,share_delta_pred_minus_expected
values_only,Q2,Oppose,8.0,0.0,30,0.26666666666666666,0.0,-0.26666666666666666
values_only,Q2,Support,16.0,18.0,30,0.5333333333333333,0.6,0.06666666666666665
values_only,Q3,Neutral,5.0,14.0,30,0.16666666666666666,0.4666666666666667,0.30000000000000004
values_only,Q3,Oppose,11.0,1.0,30,0.36666666666666664,0.03333333333333333,-0.3333333333333333
values_only,Q3,Support,14.0,15.0,30,0.4666666666666667,0.5,0.033333333333333326
values_only,Q4,Neutral,0.0,12.0,30,0.0,0.4,0.4
values_only,Q4,Oppose,2.0,0.0,30,0.06666666666666667,0.0,-0.06666666666666667
values_only,Q4,Support,28.0,18.0,30,0.9333333333333333,0.6,-0.33333333333333337
values_only,Q5,Neutral,8.0,15.0,30,0.26666666666666666,0.5,0.23333333333333334
values_only,Q5,Oppose,5.0,0.0,30,0.16666666666666666,0.0,-0.16666666666666666
values_only,Q5,Support,17.0,15.0,30,0.5666666666666667,0.5,-0.06666666666666665
values_only,Q6,Neutral,9.0,14.0,30,0.3,0.4666666666666667,0.16666666666666669
values_only,Q6,Oppose,9.0,0.0,30,0.3,0.0,-0.3
values_only,Q6,Support,12.0,16.0,30,0.4,0.5333333333333333,0.1333333333333333
