ID,age,profile_gender,tprofile_GOR,profile_education_level,tprofile_gross_household,ethnicity_R,tparent_1,tparent_2,tparent_97,tparent_98,Vote2019R,pastvote_EURef,new_socgrade,politics_scale_profile_update,respdate,W8,page1consentq,page2values1,page2values1_1,page2values1_2,page2values1_3,page2values1_4,page2values1_5,page2values1_6,page2values1_7,page2values1_8,page2values1_9,page2values1a,page2values1a_1,page2values1a_2,page2values1a_3,page2values1a_4,page2values1a_5,page2values1a_6,page2values1a_7,page2values1a_8,page2values1a_9,page3_splitgroups,page3vid_control,page3vid_threat,page3vid_hope,page3vid_justice,page4posttreatment1,page4posttreatment1_1,page4posttreatment1_2,page4posttreatment1_3,page4posttreatment1_4,page4posttreatment2,page4posttreatment2_1,page4posttreatment2_2,page4posttreatment2_3,page4posttreatment2_4,page4posttreatment2_5,page4posttreatment2_6,page4posttreatment3,page4posttreatment3_1,page4posttreatment3_2,page4posttreatment3_3,page4posttreatment3_4,page4posttreatment3_5,page4posttreatment3_6,page4posttreatment3_7,page4posttreatment3_8,page4posttreatment3_9,page4posttreatment3_10,page4posttreatment3_11,page4posttreatment3_12,page4posttreatment3_13,page4posttreatment3_14,page4posttreatment3_15,page4posttreatment3_16,page4posttreatment3_17,page4posttreatment3_18,page4posttreatment3_19,page4posttreatment3_20,page4posttreatment5,page4posttreatment5_1,page4posttreatment5_2,page4posttreatment5_3,page4posttreatment5_4,page4posttreatment5_5,page4posttreatment5_6,page5posttreatment6,page5posttreatment6_1,page5posttreatment6_2,page5posttreatment6_3,page5posttreatment6_4,page5posttreatment6_5,page5posttreatment6_6,page5posttreatment6_7,page5posttreatment6_8,page5posttreatment6_9,page5posttreatment6_10,page5posttreatment6_11,page5posttreatment6_12,page5posttreatment7_1,page5posttreatment7_2,page5posttreatment7_3,page5posttreatment7_4,page5posttreatment7_5,page5posttreatment7_6,page5posttreatment7_7,page5posttreatment7_8,page6posttreatment8,page6posttreatment8_1,page6posttreatment8_2,page6posttreatment8_3,page6posttreatment9scale,page6posttreatment9scale_strangers,page6posttreatment9ascale,page6posttreatment9ascale_government,page6posttreatment9bscale,page6posttreatment9bscale_parliament,page6posttreatment10,page6posttreatment10_1,page6posttreatment10_2,page6posttreatment10_3,page6posttreatment10_4,page6posttreatment10_5,page6posttreatment10_6,page6posttreatment11,page6posttreatment11_1,page6posttreatment11_2,page6posttreatment11_3,page6posttreatment11_4,page6posttreatment11_5,page6posttreatment11_6
11,74,1,1,11,8,1,2,2,1,2,1,2,2,5,4/23/2024,.833050292,1,1,3,3,5,3,3,5,6,4,2,1,4,5,5,4,3,5,2,2,2,1,1,-9,-9,-9,1,9,6,8,6,1,4,4,4,4,4,4,1,2,3,5,6,6,1,2,2,6,6,2,2,6,4,7,6,2,2,5,6,1,3,3,4,5,5,5,1,7,2,5,3,3,4,7,1,5,5,4,7,1,2,2,2,2,2,2,2,1,6,7,7,1,0,1,6,1,6,1,3,3,3,3,3,3,1,6,5,6,7,6,6
12,70,2,8,5,8,1,2,1,2,2,2,1,1,2,4/23/2024,.693376038,1,1,6,6,5,2,3,5,5,3,3,1,2,3,6,6,5,6,3,4,4,3,-9,-9,1,-9,1,9,7,11,8,1,6,3,6,4,7,7,1,1,3,6,7,5,2,5,5,4,3,5,6,2,4,7,6,4,2,6,6,1,1,1,6,5,7,7,1,7,1,1,5,2,5,7,1,5,4,2,3,2,1,1,2,2,1,2,2,1,2,2,7,1,6,1,3,1,3,1,3,3,3,4,1,3,1,4,4,5,3,3,4
13,43,2,4,11,16,1,1,2,2,2,1,2,1,8,4/24/2024,1.181652663,1,1,6,6,6,6,6,6,6,3,5,1,6,4,6,6,6,6,2,1,2,4,-9,-9,-9,1,1,8,6,8,4,1,3,4,4,1,7,7,1,2,1,7,6,4,3,4,4,4,5,5,5,5,3,7,7,6,3,4,7,1,5,7,5,5,4,6,1,4,4,4,5,4,4,6,4,4,5,3,6,2,1,1,2,2,2,2,2,1,6,5,7,1,0,1,3,1,3,1,4,4,5,2,3,4,1,3,4,6,7,5,6
14,86,2,8,1,5,1,2,1,2,2,1,2,1,5,4/23/2024,1.404066923,1,1,5,5,6,3,5,6,5,3,3,1,4,4,5,5,4,2,2,3,3,4,-9,-9,-9,1,1,6,2,6,2,1,2,2,2,1,4,6,1,4,1,5,6,4,3,2,3,5,5,6,4,3,1,4,5,4,4,5,6,1,4,4,4,4,4,4,1,6,2,4,4,4,4,7,2,4,3,5,2,2,1,1,1,2,2,2,2,1,2,2,4,1,5,1,7,1,7,1,5,5,5,5,5,5,1,5,4,3,5,3,3
15,71,1,4,1,6,1,2,1,2,2,1,2,2,7,4/23/2024,2.065803864,1,1,6,6,2,5,4,6,6,1,1,1,6,5,3,5,6,6,1,1,2,3,-9,-9,1,-9,1,11,10,11,3,1,2,4,5,4,7,7,1,1,1,7,7,5,7,1,1,4,4,5,6,3,1,7,7,4,2,6,7,1,2,2,2,7,4,7,1,6,7,4,2,1,7,7,1,2,7,5,3,1,1,2,1,2,1,2,2,1,7,1,7,1,7,1,0,1,0,1,1,2,1,4,4,4,1,5,6,5,5,6,2
16,65,1,3,18,17,1,2,2,1,2,1,2,2,5,4/23/2024,1.09271599,1,1,6,6,6,6,4,5,6,2,3,1,5,3,5,4,3,4,2,1,2,1,1,-9,-9,-9,1,7,6,6,6,1,2,2,1,2,6,7,1,1,5,5,5,6,3,3,3,7,7,1,2,5,5,2,4,6,6,3,5,1,7,7,6,3,4,1,1,5,5,7,1,1,7,6,1,2,7,2,4,2,1,1,1,2,2,2,2,1,2,1,2,1,3,1,6,1,6,1,1,1,1,3,3,4,1,6,5,6,6,5,5
17,52,2,11,9,2,1,2,2,1,2,1,2,2,5,4/24/2024,1.13200295,1,1,4,4,4,4,6,4,4,2,1,1,1,3,4,2,6,2,1,1,2,3,-9,-9,1,-9,1,9,6,9,6,1,1,4,4,4,4,5,1,1,1,7,5,4,7,7,4,7,7,2,3,4,4,7,7,4,4,4,6,1,5,7,4,4,7,5,1,4,6,6,4,2,7,2,4,4,6,1,6,1,2,1,1,2,2,2,2,1,7,4,7,1,0,1,1,1,0,1,5,5,5,5,5,5,1,1,6,4,7,4,7
18,70,2,7,18,5,1,2,1,2,2,3,1,1,3,4/23/2024,.4924097,1,1,4,4,4,3,5,6,5,1,2,1,3,4,5,5,2,3,1,1,2,2,-9,1,-9,-9,1,8,5,7,5,1,4,4,4,1,6,6,1,2,2,6,7,4,1,5,2,5,5,4,3,2,1,7,7,2,2,7,6,1,1,1,1,3,4,2,1,6,4,4,4,4,4,4,1,4,4,4,1,2,1,1,2,2,2,2,2,1,2,2,2,1,7,1,2,1,5,1,3,3,3,4,3,5,1,2,2,2,3,4,4
19,74,1,2,18,8,1,2,1,2,2,3,1,1,5,4/23/2024,.698173419,1,1,5,4,5,5,5,5,6,1,3,1,6,4,6,5,5,3,1,3,4,2,-9,1,-9,-9,1,6,4,5,6,1,4,4,3,5,1,2,1,1,1,7,7,5,4,3,2,6,6,5,3,6,5,5,5,6,5,5,5,1,5,5,1,5,6,3,1,5,2,5,2,1,6,6,2,2,5,1,6,2,1,2,2,2,2,2,2,1,5,1,7,1,7,1,0,1,4,1,3,3,3,3,3,5,1,6,7,5,3,5,2
20,69,1,4,3,3,1,2,1,2,2,1,2,2,6,4/24/2024,1.57490009,1,1,3,4,4,4,3,3,5,2,2,1,4,4,3,3,3,2,2,3,3,4,-9,-9,-9,1,1,7,3,5,6,1,2,3,3,2,5,5,1,3,4,4,5,5,5,3,3,5,5,3,4,4,4,5,5,5,5,5,5,1,5,5,5,4,4,5,1,5,4,5,3,2,4,6,2,3,5,3,4,2,2,2,1,2,2,2,2,1,3,4,5,1,5,1,4,1,5,1,3,3,3,3,3,3,1,5,5,5,5,4,4
21,77,1,3,18,12,1,2,1,2,2,1,1,1,5,4/23/2024,.489456615,1,1,3,4,6,6,5,3,3,2,4,1,6,6,5,3,3,3,5,3,5,4,-9,-9,-9,1,1,7,8,9,7,1,5,5,4,5,3,6,1,2,4,5,5,7,5,1,2,5,7,3,5,5,5,5,5,3,4,5,2,1,7,5,5,4,5,5,1,7,4,4,4,2,5,7,3,5,5,3,7,2,2,2,2,2,2,1,2,1,5,3,6,1,3,1,6,1,6,1,5,3,3,1,1,4,1,5,5,5,4,3,1
22,86,1,8,5,6,1,2,1,2,2,1,2,2,5,4/23/2024,.97728353,1,1,5,5,4,5,5,5,5,4,6,1,5,5,5,6,4,4,4,2,3,1,1,-9,-9,-9,1,10,6,6,8,1,4,6,6,5,1,1,1,4,4,3,6,6,4,3,4,6,5,1,1,5,4,4,6,6,7,3,4,1,5,6,6,4,7,5,1,6,4,6,2,4,4,7,5,4,4,6,2,1,1,2,2,2,2,2,2,1,6,4,6,1,5,1,5,1,8,1,1,3,2,3,4,1,1,2,5,4,4,4,1
23,56,2,4,18,13,1,2,2,1,2,3,1,1,2,4/23/2024,.474754572,1,1,6,6,3,2,5,5,5,2,6,1,5,3,5,4,5,5,6,6,6,1,1,-9,-9,-9,1,10,9,9,5,1,4,5,6,2,2,6,1,2,2,6,7,2,1,6,4,4,3,4,4,4,2,6,5,3,3,6,5,1,3,1,2,4,4,5,1,6,2,2,6,2,4,7,1,4,3,4,4,1,2,1,1,2,1,2,2,1,2,1,5,1,7,1,1,1,2,1,5,4,4,3,3,3,1,2,3,3,5,4,3
24,75,1,10,11,10,1,2,2,1,2,6,1,1,4,4/23/2024,.568489498,1,1,5,5,3,4,4,4,5,2,3,1,4,4,4,5,3,3,3,3,4,2,-9,1,-9,-9,1,11,9,11,4,1,6,5,5,3,5,6,1,3,3,5,6,4,3,5,4,5,5,4,4,4,3,5,5,4,4,5,5,1,3,2,3,3,5,2,1,7,1,1,7,1,1,7,1,7,1,6,1,2,1,1,1,2,1,2,2,1,4,2,6,1,5,1,4,1,4,1,3,3,4,4,4,3,1,5,5,5,5,5,4
25,59,2,7,11,5,2,2,2,1,2,3,1,1,5,4/25/2024,.417676662,1,1,5,5,6,6,5,6,6,3,1,1,6,5,5,5,2,4,1,1,1,3,-9,-9,1,-9,1,11,9,10,2,1,4,4,4,4,4,4,1,1,1,6,7,6,4,2,1,1,1,7,1,1,1,7,7,6,1,6,6,1,1,1,1,7,7,6,1,7,1,1,7,7,1,7,1,7,1,7,1,1,1,1,2,2,2,2,2,1,6,1,4,1,5,1,0,1,2,1,3,3,3,3,3,3,1,4,2,2,4,1,1
26,74,1,7,16,6,2,2,1,2,2,2,3,2,4,4/25/2024,.845670105,1,1,5,6,6,6,6,6,5,3,5,1,5,4,6,6,1,3,1,1,2,4,-9,-9,-9,1,1,9,4,8,3,1,6,6,4,7,4,4,1,2,1,4,7,6,1,1,2,3,4,6,7,1,1,7,5,1,1,7,7,1,1,1,1,1,2,1,1,6,3,5,4,3,4,7,2,4,1,7,1,1,1,2,2,2,1,2,2,1,6,2,5,1,2,1,3,1,3,1,3,4,2,4,3,4,1,5,7,1,6,3,6
27,70,2,2,16,7,1,2,1,2,2,5,1,1,3,4/23/2024,.543199698,1,1,5,5,2,1,4,6,6,3,2,1,3,1,3,6,4,5,1,2,3,4,-9,-9,-9,1,1,11,8,9,2,1,1,2,1,1,6,6,1,1,2,6,6,1,1,6,5,1,2,5,6,2,1,6,7,2,1,6,6,1,2,1,1,3,6,1,1,7,1,1,7,6,2,7,1,4,2,4,1,2,1,1,2,2,1,2,2,1,5,1,5,1,6,1,2,1,0,1,4,4,4,4,2,3,1,2,4,3,4,3,2
28,82,1,2,18,6,1,2,2,2,1,1,2,1,5,4/23/2024,.598520355,1,1,6,6,6,6,6,6,6,2,3,1,6,2,6,6,5,4,3,5,4,1,1,-9,-9,-9,1,4,2,7,7,1,5,5,6,5,5,5,1,3,3,5,5,5,4,4,3,3,2,4,3,5,3,2,4,3,3,5,6,1,4,6,3,2,6,4,1,5,5,5,2,2,5,6,1,2,2,2,5,1,2,1,1,2,1,2,2,1,3,2,7,1,5,1,7,1,7,1,3,3,3,3,3,4,1,3,3,2,3,1,2
29,68,2,1,1,4,1,2,1,2,2,7,2,2,8,4/25/2024,.746436171,1,1,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,-9,-9,1,-9,1,9,5,11,8,1,3,3,1,1,3,7,1,4,3,4,5,6,6,4,4,4,4,5,4,5,1,6,6,5,4,6,5,1,3,4,5,5,7,4,1,2,4,4,5,4,5,7,4,5,4,4,5,1,1,2,1,2,2,2,2,1,3,4,7,1,8,1,9,1,7,1,3,3,1,1,3,1,1,5,5,5,6,4,6
30,56,2,4,9,17,1,2,1,2,2,3,1,1,4,4/24/2024,.599675801,1,1,6,5,4,4,5,5,4,4,3,1,4,4,5,4,3,4,2,3,4,2,-9,1,-9,-9,1,8,4,7,7,1,4,4,3,3,6,6,1,4,5,5,6,5,3,4,4,5,5,4,5,5,4,5,5,5,5,5,6,1,5,4,3,5,5,4,1,5,3,4,4,3,5,4,2,4,4,3,3,1,1,1,2,2,2,2,2,1,5,5,6,1,4,1,6,1,6,1,5,5,2,3,2,3,1,5,5,5,5,5,5
31,52,1,2,1,5,1,1,2,2,2,7,2,2,8,4/23/2024,2.91915715,1,1,1,2,4,5,4,1,6,3,2,1,2,5,5,1,3,2,1,3,4,4,-9,-9,-9,1,1,1,1,1,1,1,2,2,6,2,6,6,1,2,1,7,7,7,5,3,2,5,7,3,3,3,5,6,6,5,3,4,5,1,6,7,5,3,3,4,1,7,1,7,1,4,1,7,2,4,7,1,7,2,2,2,2,2,2,1,2,1,7,7,1,1,6,1,0,1,0,1,5,5,5,1,3,3,1,6,6,6,3,2,6
32,41,2,4,19,16,1,2,2,1,2,3,2,2,8,4/23/2024,.925835738,1,1,4,3,6,4,2,3,3,1,2,1,3,3,3,3,3,2,2,1,1,4,-9,-9,-9,1,1,3,2,3,6,1,4,4,4,2,4,4,1,3,4,7,5,4,4,4,4,6,5,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,1,7,1,4,4,4,4,7,4,4,4,4,6,2,2,2,2,2,2,2,1,1,7,5,4,1,0,1,997,1,997,1,5,5,5,5,5,5,1,4,5,4,4,4,4
33,81,2,5,9,3,1,2,1,2,2,1,2,2,6,4/23/2024,1.737440453,1,1,6,6,6,6,3,2,6,1,2,1,3,6,3,3,3,4,2,3,3,2,-9,1,-9,-9,1,1,1,1,1,1,4,4,3,4,4,5,1,3,2,5,5,7,1,1,1,5,5,4,3,5,5,5,4,5,5,4,4,1,7,7,6,4,4,2,1,1,7,7,1,1,7,1,6,1,7,1,7,2,2,2,2,2,2,1,2,1,4,2,4,1,1,1,3,1,3,1,1,1,1,1,1,1,1,5,5,4,5,3,5
34,74,1,4,17,17,1,2,1,2,2,2,2,2,3,4/23/2024,.919553353,1,1,4,4,4,4,4,4,4,4,4,1,3,3,4,3,4,4,3,3,4,2,-9,1,-9,-9,1,7,5,7,4,1,4,4,4,4,4,4,1,3,3,6,5,4,4,4,4,4,4,4,4,4,3,5,5,4,4,4,5,1,4,4,4,4,4,3,1,6,3,3,6,5,1,6,4,4,4,5,4,2,2,2,2,2,2,2,1,1,6,4,4,1,5,1,3,1,6,1,5,4,5,4,3,3,1,4,4,4,4,4,4
35,81,2,9,11,5,1,2,1,2,2,5,2,2,3,4/23/2024,.70539434,1,1,6,5,5,4,5,5,6,3,2,1,5,4,5,6,4,4,2,3,4,4,-9,-9,-9,1,1,6,7,8,7,1,1,3,1,3,7,5,1,3,3,5,6,5,4,4,4,3,2,7,6,4,1,5,6,4,4,6,6,1,2,3,4,4,5,5,1,5,2,4,4,3,4,7,3,4,2,5,3,2,2,1,2,2,2,2,2,1,5,3,5,1,6,1,997,1,6,1,4,4,3,3,4,4,1,5,4,4,3,1,3
36,80,1,1,16,17,1,2,1,2,2,1,2,1,7,4/23/2024,.598520355,1,1,2,2,5,6,5,2,3,2,4,1,2,5,3,4,2,2,2,2,2,4,-9,-9,-9,1,1,1,1,1,1,1,7,5,7,6,2,4,1,3,2,7,3,5,5,2,2,7,7,5,1,7,6,3,2,2,7,3,4,1,7,7,7,3,6,2,1,1,7,7,1,1,7,1,7,1,7,1,1,2,2,1,2,2,2,2,2,1,4,1,7,1,8,1,6,1,5,1,1,1,1,1,1,3,1,3,6,7,5,1,2
37,74,1,2,14,4,1,2,1,2,2,2,1,2,3,4/23/2024,.990989736,1,1,4,4,5,3,4,5,5,3,2,1,5,3,5,5,5,4,3,2,3,4,-9,-9,-9,1,1,6,6,8,9,1,4,6,5,5,2,2,1,3,2,2,6,4,3,4,4,4,4,6,6,5,4,5,4,5,4,4,5,1,5,3,3,3,6,4,1,6,2,2,6,5,2,6,3,6,2,3,3,2,2,2,2,2,2,1,2,1,5,2,5,1,7,1,2,1,2,1,3,3,3,3,3,3,1,5,5,5,4,3,4
38,48,1,3,17,13,1,2,2,1,2,1,2,1,4,4/23/2024,.869356522,1,1,3,3,5,5,4,4,6,1,5,1,4,5,5,3,6,3,4,2,3,2,-9,1,-9,-9,1,6,6,6,6,1,7,7,7,7,1,1,1,1,1,7,7,7,7,1,1,5,5,4,6,5,6,3,2,7,7,1,4,1,7,7,6,6,4,1,1,2,7,7,1,1,7,1,1,1,7,1,7,2,1,1,1,2,2,2,2,1,7,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,6,2,4,3,5,1
39,74,1,2,9,17,1,2,2,1,2,1,3,1,5,4/24/2024,.643453263,1,1,3,4,5,5,4,1,6,2,2,1,4,4,3,2,2,3,2,2,3,1,1,-9,-9,-9,1,7,5,4,4,1,6,6,4,7,1,2,1,3,3,3,6,4,3,5,4,7,6,1,2,4,1,4,3,5,6,5,2,1,7,4,3,4,6,2,1,6,2,5,3,3,5,6,4,2,4,1,4,2,2,2,2,2,2,1,2,1,3,4,5,1,4,1,6,1,6,1,5,5,3,3,5,4,1,5,4,4,5,1,5
40,63,1,9,18,3,1,2,2,1,2,1,2,2,7,4/24/2024,.948997236,1,1,1,1,6,6,6,6,6,1,1,1,6,6,6,6,6,1,1,6,6,1,1,-9,-9,-9,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,7,7,1,1,7,7,7,1,1,1,1,7,1,1,1,7,1,1,7,1,7,7,1,1,3,1,7,1,1,7,1,7,1,7,1,7,2,2,2,2,2,2,1,2,1,1,1,7,1,5,1,5,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41,71,2,6,20,17,1,2,2,1,2,7,3,1,3,4/23/2024,.587216467,1,1,5,5,4,3,5,6,5,3,4,1,4,3,5,6,5,5,4,2,3,3,-9,-9,1,-9,1,9,8,9,8,1,3,3,4,3,7,5,1,3,3,5,5,4,4,5,4,4,4,6,6,3,3,5,6,2,3,5,6,1,4,3,4,4,5,4,1,6,3,3,4,4,3,6,2,4,2,4,2,2,1,2,2,2,2,2,2,1,4,4,5,1,997,1,4,1,5,1,5,3,2,3,3,3,1,4,3,3,4,4,3
42,55,2,9,17,16,1,2,2,1,2,2,1,1,2,4/23/2024,.548329686,1,1,5,5,2,2,5,6,5,2,2,1,2,2,5,5,5,4,1,2,3,2,-9,1,-9,-9,1,2,8,9,6,1,2,2,3,3,4,4,1,2,1,7,6,2,2,6,4,4,2,5,5,2,1,6,7,6,3,6,7,1,4,1,1,4,4,4,1,5,1,1,4,4,4,5,2,5,3,4,2,2,2,2,1,1,1,2,2,1,6,4,6,1,5,1,0,1,1,1,3,4,4,3,3,4,1,6,5,5,6,5,6
43,73,2,6,17,4,1,2,2,1,2,1,2,1,5,4/24/2024,.926475029,1,1,6,6,3,3,4,5,6,1,3,1,5,3,5,6,6,4,5,3,3,3,-9,-9,1,-9,1,9,6,7,8,1,2,3,1,3,6,6,1,2,5,5,6,5,3,5,4,4,4,4,4,3,1,7,5,5,4,4,6,1,4,4,2,4,6,4,1,6,4,3,3,4,4,7,1,5,3,5,1,1,2,2,1,2,1,2,2,1,4,3,6,1,2,1,2,1,4,1,3,3,3,4,4,3,1,6,6,4,6,3,5
