policy_id,day,n_agents,n_support,support_pct,n_neutral,neutral_pct,n_against,against_pct
ClimatePolicyID(1),0,50,50,100.0,0,0.0,0,0.0
ClimatePolicyID(1),1,50,50,100.0,0,0.0,0,0.0
ClimatePolicyID(1),2,50,50,100.0,0,0.0,0,0.0
ClimatePolicyID(1),3,50,50,100.0,0,0.0,0,0.0
ClimatePolicyID(1),4,50,50,100.0,0,0.0,0,0.0
ClimatePolicyID(2),0,50,39,78.0,0,0.0,11,22.0
ClimatePolicyID(2),1,50,40,80.0,0,0.0,10,20.0
ClimatePolicyID(2),2,50,39,78.0,0,0.0,11,22.0
ClimatePolicyID(2),3,50,39,78.0,0,0.0,11,22.0
ClimatePolicyID(2),4,50,41,82.0,0,0.0,9,18.0
ClimatePolicyID(3),0,50,49,98.0,0,0.0,1,2.0
ClimatePolicyID(3),1,50,49,98.0,0,0.0,1,2.0
ClimatePolicyID(3),2,50,49,98.0,0,0.0,1,2.0
ClimatePolicyID(3),3,50,49,98.0,0,0.0,1,2.0
ClimatePolicyID(3),4,50,48,96.0,0,0.0,2,4.0
ClimatePolicyID(4),0,50,50,100.0,0,0.0,0,0.0
ClimatePolicyID(4),1,50,49,98.0,0,0.0,1,2.0
ClimatePolicyID(4),2,50,50,100.0,0,0.0,0,0.0
ClimatePolicyID(4),3,50,50,100.0,0,0.0,0,0.0
ClimatePolicyID(4),4,50,50,100.0,0,0.0,0,0.0
ClimatePolicyID(5),0,50,50,100.0,0,0.0,0,0.0
ClimatePolicyID(5),1,50,50,100.0,0,0.0,0,0.0
ClimatePolicyID(5),2,50,50,100.0,0,0.0,0,0.0
ClimatePolicyID(5),3,50,50,100.0,0,0.0,0,0.0
ClimatePolicyID(5),4,50,50,100.0,0,0.0,0,0.0
ClimatePolicyID(6),0,50,47,94.0,0,0.0,3,6.0
ClimatePolicyID(6),1,50,47,94.0,0,0.0,3,6.0
ClimatePolicyID(6),2,50,47,94.0,0,0.0,3,6.0
ClimatePolicyID(6),3,50,47,94.0,0,0.0,3,6.0
ClimatePolicyID(6),4,50,47,94.0,0,0.0,3,6.0
