question_id,delta_name,n_pairs,mean_delta,ci_95_low,ci_95_high
Q1,original_minus_shuffled,100,0.07666666666666666,0.02666666666666667,0.13
Q1,original_minus_neutral,100,0.03499999999999999,-0.010041666666666673,0.07833333333333334
Q2,original_minus_shuffled,100,0.08666666666666666,0.035,0.1416666666666667
Q2,original_minus_neutral,100,-0.026666666666666665,-0.09833333333333334,0.04337499999999978
Q3,original_minus_shuffled,100,0.03666666666666667,-0.02333333333333333,0.09333333333333332
Q3,original_minus_neutral,100,-0.09333333333333334,-0.15666666666666668,-0.026625000000000225
Q4,original_minus_shuffled,100,0.08166666666666667,0.030000000000000006,0.13333333333333333
Q4,original_minus_neutral,100,0.02333333333333332,-0.02666666666666667,0.07004166666666645
Q5,original_minus_shuffled,100,0.07500000000000001,0.021624999999999995,0.12833333333333333
Q5,original_minus_neutral,100,-0.06833333333333334,-0.13166666666666668,-1.0824674490096792e-18
Q6,original_minus_shuffled,100,0.105,0.05162499999999999,0.16000000000000003
Q6,original_minus_neutral,100,-0.12166666666666666,-0.18833333333333332,-0.056666666666666664
